鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物),安慶街133巷1~30號,12.84,都市：其他:住宅區,,,1100316,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830411,109.49,3,2,2,有,有,6600000,60279,,0.0,0,,RPOSMLSLMHGGFAH48DA,85.98,1.87,9.86,有,
桃園區,房地(土地+建物),中山路740巷1~30號,23.3,都市：其他:第二種住宅區,,,1100409,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0791015,102.77,3,2,2,有,無,4450000,43301,,0.0,0,,RPPRMLSLMHGGFAH48DA,85.62,0.0,8.82,無,0151
桃園區,房地(土地+建物)+車位,大興路290巷1~30號,16.16,都市：其他:住宅區,,,1100410,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020925,120.34,2,2,1,有,有,9010000,74871,坡道平面,29.34,0,,RPUNMLPJNHGGFAH18DA,55.93,2.5,5.37,有,0152
桃園區,房地(土地+建物)+車位,大有路331~360號,35.08,都市：其他:住宅區,,,1090628,土地2建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030403,258.68,4,2,2,有,有,16100000,62239,坡道平面,59.98,0,,RPQNMLRJNHGGFAH97DA,120.23,4.22,10.9,有,0153
桃園區,土地,桃圳段811~840地號,152.1,都市：其他:第一種住宅區,,,1100329,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10700000,70348,,0.0,0,未登記建物；,RPTSMLLKNHGGFAH28DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),復興路61~90號,4.96,都市：其他:商業區,,,1100303,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),套房．辦公室,鋼筋混凝土造,0691007,50.43,1,1,1,有,有,5350000,106088,,0.0,0,,RPSNMLSJNHGGFAH28DA,38.0,0.0,0.0,有,
桃園區,房地(土地+建物)+車位,大興西路二段139巷91~120號,10.05,都市：其他:住宅區,,,1100410,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970424,84.25999999999999,1,1,1,有,有,6600000,78329,坡道平面,31.88,0,,RPURMLKKNHGGFAH18DA,32.92,0.0,3.52,有,0154
桃園區,房地(土地+建物),愛三街1~30號,24.99,都市：其他:道路用地,,,1100228,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810107,169.11999999999998,4,2,2,有,有,7650000,45234,,0.0,0,,RPPNMLLKNHGGFAH37DA,117.99,0.0,11.65,有,
桃園區,房地(土地+建物)+車位,大興路290巷31~60號,22.29,都市：其他:住宅區,,,1100320,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020925,153.85000000000002,3,2,2,有,有,11500000,74748,坡道平面,27.21,0,B1機車停車位壹位陽台外推；,RPOOMLLKNHGGFAH37DA,76.58,2.54,9.47,有,0155
桃園區,房地(土地+建物)+車位,大興西路二段139巷91~120號,13.58,都市：其他:住宅區,,,1100415,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981030,92.2,3,2,2,有,有,6700000,72668,坡道平面,0.0,0,,RPSOMLLKNHGGFAH77DA,50.0,0.98,6.11,有,
桃園區,房地(土地+建物)+車位,成功路三段1~30號,17.09,都市：其他:住宅區,,,1100316,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090117,128.04000000000002,2,2,1,有,有,13510000,132741,坡道平面,40.2,1850000,,RPQQMLLKNHGGFAH77DA,50.05,2.59,1.86,有,
桃園區,房地(土地+建物)+車位,慈德街151~180號,11.35,都市：其他:住宅區,,,1100328,土地3建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930720,115.89,2,2,1,有,有,8750000,75503,坡道平面,0.0,0,,RPPRMLRJNHGGFAH28DA,56.73,2.9,2.88,有,0156
中壢區,房地(土地+建物),西園路91~120號,119.7,,工業區,丁種建築用地,1100129,土地3建物1車位0,全,四層,透天厝,事務所、事務所（附屬停車空間）,鋼筋混凝土造,1020923,396.75,5,2,5,有,有,25800000,65028,,0.0,0,,RPQOMLTJKHGGFBH08DA,360.83,7.97,0.0,有,
中壢區,房地(土地+建物)+車位,華美三路301~330號,21.64,都市：其他:商業區,,,1100314,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090707,194.32,4,2,2,有,有,10600000,54549,坡道平面,33.59,0,,RPXSMLQKLHGGFBH09DA,96.5,1.74,11.81,有,0157
中壢區,房地(土地+建物),九和一街31~60號,2.86,都市：其他:商業區,,,1100325,土地1建物1車位0,二層,二十一層,住宅大樓(11層含以上有電梯),商場,鋼筋混凝土造,0901026,48.65,0,0,0,無,有,3700000,76053,,0.0,0,,RPQQMLLJMHGGFBH67DA,19.91,0.0,0.0,有,
觀音區,房地(土地+建物),忠愛路忠二巷70弄1~30號,75.43,,鄉村區,乙種建築用地,1100406,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0691003,96.3,1,2,2,有,無,4100000,42575,,0.0,0,,RPRNNLSJMHGGFBH28DA,96.3,0.0,0.0,無,
