鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
萬華區,房地(土地+建物),內江街126巷1~30號,16.25,都市：其他:道路用地(公共設施用地)。60/8/24,,,1100426,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0591008,37.63,2,1,1,有,無,3780000,100452,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLKKNHGGFBA86DA,37.63,0.0,0.0,無,082
萬華區,房地(土地+建物)+車位,環河南路二段1~30號,8.57,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1060930,土地2建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,110.41999999999999,2,2,1,有,無,17500000,169098,坡道機械,19.94,2200000,預售屋、或土地及建物分次登記案件；,RPPNMLQJNHGGFBA17DA,53.82,3.16,3.89,有,
萬華區,房地(土地+建物)+車位,環河南路二段1~30號,8.57,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1061002,土地2建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,110.41999999999999,2,2,1,有,無,17100000,169098,坡道機械,19.94,1800000,預售屋、或土地及建物分次登記案件；,RPQNMLQJNHGGFBA27DA,53.82,3.16,3.89,有,
萬華區,房地(土地+建物)+車位,桂林路91~120號,6.23,都市：其他:第四種商業區。,,,1100408,土地1建物1車位1,十九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,99.86,2,1,1,有,有,18000000,195553,坡道機械,13.95,1200000,,RPWNMLQLMHGGFBA97DA,47.49,6.13,4.01,有,
萬華區,房地(土地+建物)+車位,桂林路91~120號,6.66,都市：其他:第四種商業區。,,,1100408,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,105.78999999999999,2,2,1,有,有,17500000,177483,坡道機械,13.95,1200000,,RPOOMLQLMHGGFBA27DA,49.25,4.0,8.25,有,
大同區,房地(土地+建物)+車位,雙連街61~90號,19.64,都市：其他:第四種住宅區。,,,1100318,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,222.52,3,2,2,有,有,54900000,278031,坡道平面,35.85,3000000,,RPSOMLQLMHGGFBA67DA,92.77,0.0,24.71,有,
萬華區,房地(土地+建物),青年路68巷3弄1~30號,53.46,都市：其他:第三種住宅區。,,,1100208,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0711027,157.16,3,2,2,有,有,21600000,137440,,0.0,0,,RPVOMLQLKHGGFBA77DA,120.17,0.0,15.96,有,
中正區,房地(土地+建物)+車位,杭州南路一段131巷1~30號,80.63,都市：其他:道路用地(公共設施用地)。61/3/24,,,1100323,土地2建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680618,351.01,4,3,4,有,無,80000000,227914,坡道平面,33.67,0,,RPQQMLPKMHGGFBA47DA,248.71,0.0,30.84,有,
文山區,房地(土地+建物)+車位,辛亥路四段166巷1~30號,26.77,都市：其他:第三種住宅區。,,,1100326,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1071026,130.81,2,2,1,有,有,22000000,190037,坡道機械,26.62,2200000,,RPQOMLRJNHGGFAA37DA,59.68,5.43,4.44,有,
文山區,房地(土地+建物)+車位,木柵路三段48巷1弄1~30號,38.51,都市：其他:第三種住宅區。,,,1100328,土地1建物1車位1,八層，電梯樓梯間,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850809,210.89,4,2,2,有,有,30000000,142254,坡道平面,0.0,0,陽台外推；其他增建；,RPVPMLRJNHGGFAA97DA,117.1,1.85,12.61,有,083
文山區,房地(土地+建物),興隆路二段244巷39弄1~30號,30.97,都市：其他:第三種住宅區。,,,1100403,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681023,86.63,3,2,2,有,無,16800000,193928,,0.0,0,其他增建；,RPRNMLKKNHGGFAA76DA,71.83,14.8,0.0,無,
文山區,房地(土地+建物),福興路95巷1~30號,24.15,都市：其他:第三種住宅區。,,,1100327,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890626,97.17,2,1,2,有,有,14400000,148194,,0.0,0,,RPOPMLKKNHGGFAA66DA,74.67,0.0,4.64,有,
中正區,房地(土地+建物),寧波東街9巷1~30號,6.64,都市：其他:第三種住宅區。,,,1100417,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881028,25.86,0,1,1,有,無,9000000,348028,,0.0,0,陽台外推；,RPSNMLLKNHGGFAA96DA,13.32,0.0,2.04,有,
中正區,房地(土地+建物),金門街1~30號,47.25,都市：其他:第三種住宅區。,,,1100417,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650225,137.16,4,2,2,有,無,24400000,177894,,0.0,0,陽台外推；,RPUNMLPJNHGGFAA47DA,137.16,0.0,0.0,無,
文山區,房地(土地+建物),興隆路一段70巷11弄1~30號,39.0,都市：其他:道路用地(公共設施用地)。62/10/24,,,1100328,土地3建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,113.68,3,2,2,有,無,18280000,160802,,0.0,0,陽台外推；其他增建；,RPQPMLMLMHGGFAA07DA,113.68,0.0,0.0,無,
