鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
前金區,房地(土地+建物)+車位,七賢二路331~360號,5.45,都市：其他:第五種商業區,,,1100314,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1051017,76.63,2,1,1,有,有,6000000,78298,升降機械,14.65,0,,RPUNMLQJNHGGFAE97DA,35.83,3.23,0.0,有,0006
鼓山區,房地(土地+建物)+車位,明華路301~330號,18.26,都市：其他:第四種商業區,,,1100323,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0810131,240.79,0,0,0,無,有,12380000,51414,坡道平面,0.0,0,,RPQNMLLKNHGGFAE17DA,134.09,23.88,0.0,有,
新興區,房地(土地+建物),河南一路61~90號,56.0,都市：其他:第三種商業區,,,1100318,土地1建物1車位0,全,二層,透天厝,,加強磚造,0590811,59.21,3,1,4,有,無,11300000,190846,,0.0,0,其他增建；,RPTPMLQLLHGGFBE18DA,59.21,0.0,0.0,無,0007
苓雅區,房地(土地+建物)+車位,新田路361~390號,7.89,都市：其他:第五種商業區,,,1100310,土地2建物1車位1,十四層,四十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1020916,154.76999999999998,0,0,0,無,有,15180000,93778,坡道平面,19.14,2460000,,RPRNMLRLLHGGFBE87DA,81.17,6.21,0.0,有,
苓雅區,房地(土地+建物),允文街91~120號,12.61,都市：其他:第二種商業區,,,1100327,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090901,96.43,2,2,1,有,有,8420000,87317,,0.0,0,,RPRNMLKMLHGGFBE27DA,47.7,14.11,0.0,有,0008
苓雅區,房地(土地+建物)+車位,建民路121~150號,14.11,都市：其他:第四種商業區,,,1100328,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890524,168.91,4,2,2,有,有,10700000,63347,坡道平面,22.99,0,,RPROMLPKMHGGFBE77DA,95.68,9.86,0.0,有,
苓雅區,房地(土地+建物),復興二路121~150號,4.31,都市：其他:第五種商業區,,,1080224,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091230,59.0,2,2,1,有,有,4700000,79661,,0.0,0,,RPTNMLTKMHGGFBE28DA,36.64,2.04,0.0,有,
新興區,房地(土地+建物),六合一路151~180號,8.17,都市：其他:第四種商業區,,,1100411,土地1建物2車位0,十二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710212,68.21,2,2,2,有,有,3960000,58056,,0.0,0,本案件為兩間套房，價格為176萬元、220萬元,RPPOMLKLMHGGFBE17DA,68.21,0.0,0.0,有,
新興區,房地(土地+建物),六合一路151~180號,6.9,都市：其他:第四種商業區,,,1100411,土地1建物2車位0,十二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710212,57.66,2,2,2,有,有,3390000,58793,,0.0,0,本案件為兩間套房，價格為163萬，176萬,RPQOMLKLMHGGFBE27DA,57.66,0.0,0.0,有,
苓雅區,房地(土地+建物)+車位,輔仁路31~60號,21.32,都市：其他:第四種住宅區,,,1100309,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1081119,201.25,2,2,2,有,有,16800000,82354,坡道平面,42.18,3700000,,RPPNMLRLMHGGFBE77DA,83.54,20.16,0.0,有,
新興區,房地(土地+建物),南臺路61~90號,3.83,都市：其他:第四種商業區,,,1100420,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0800209,29.71,1,0,1,有,無,1350000,45439,,0.0,0,,RPPOMLRLMHGGFBE87DA,20.58,0.0,0.0,有,
