鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
土城區,房地(土地+建物),裕民路136巷1~30號,27.64,都市：其他:第二種住宅區,,,1100417,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741016,102.13,3,2,2,有,無,8330000,81563,,0.0,0,,RPPTNLNLMHGGFAF08DA,90.75,0.0,11.38,無,0004
板橋區,車位,長江路一段361~390號,0.5,都市：其他:住宅區,,,1100415,土地1建物1車位1,,,其他,,,,34.91,0,0,0,有,有,2000000,,坡道平面,34.91,2000000,僅車位交易；,RPOSMLQLMHGGFAF08DA,0.0,0.0,0.0,有,0005
土城區,房地(土地+建物)+車位,延吉街381巷1~30號,35.3,都市：其他:第二種住宅區,,,1091122,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970118,213.03,4,2,2,有,有,24750000,116181,坡道平面,34.66,0,其他增建；,RPTSMLQLMHGGFAF58DA,107.63,2.94,13.48,有,
板橋區,房地(土地+建物)+車位,藝文街391~420號,16.66,都市：其他:第二種住宅區,,,1100401,土地1建物1車位1,十七層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090804,134.15,3,2,1,有,有,15680000,139859,坡道平面,33.12,1550000,,RPTNMLSLMHGGFAF28DA,56.95,5.01,4.13,有,
板橋區,房地(土地+建物)+車位,漢生東路301~330號,27.54,都市：其他:住宅區,,,1100412,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961207,202.83999999999997,3,2,2,有,有,29500000,153460,坡道平面,23.64,2000000,,RPVNMLSLMHGGFAF48DA,115.61,8.83,5.26,有,
板橋區,房地(土地+建物)+車位,新海路31~60號,29.46,都市：其他:住宅區,,,1091230,土地1建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1081226,233.35000000000002,4,2,2,有,有,33480000,143475,坡道平面,34.29,0,,RPTOMLTLMHGGFAF48DA,127.16,0.0,13.43,有,
板橋區,房地(土地+建物),四川路二段47巷1弄1~30號,5.8,都市：其他:住宅區,,,1100426,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0650607,20.24,4,2,1,有,無,2000000,98814,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLNJNHGGFAF08DA,20.24,0.0,0.0,無,
板橋區,土地,江子翠段第三崁小段181~210地號,24.58,都市：其他:人行步道,,,1100311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5749530,233911,,0.0,0,,RPPPMLNJNHGGFAF47DA,0.0,0.0,0.0,無,
板橋區,車位,永翠路61~90號,0.47,都市：其他:第二種住宅區,,,1100417,土地1建物1車位1,,,其他,,,,31.61,0,0,0,有,有,1500000,,坡道平面,31.61,1500000,僅車位交易；,RPWSMLNJNHGGFAF48DA,0.0,0.0,0.0,有,0006
板橋區,房地(土地+建物),華東街271~300號,12.7,都市：其他:住宅區,,,1100118,土地2建物1車位0,十六層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050205,137.57999999999998,3,2,2,有,有,23900000,173717,,0.0,0,含裝潢費；預售屋、或土地及建物分次登記案件；,RPOPMLOJNHGGFAF47DA,79.68,7.59,9.45,有,
板橋區,房地(土地+建物)+車位,僑中二街91~120號,24.02,都市：其他:住宅區(再),,,1100328,土地1建物1車位1,三層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050905,168.24,3,2,2,有,有,17000000,101046,坡道平面,33.05,0,,RPPTMLOJNHGGFAF97DA,81.88,0.0,10.06,有,0007
板橋區,房地(土地+建物),莊敬路31~60號,3.03,都市：其他:商業區,,,1100422,土地1建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870416,46.05,1,1,1,有,有,10000000,217155,,0.0,0,夾層；其他增建；,RPQNMLPJNHGGFAF57DA,29.2,1.0,3.23,有,0008
板橋區,房地(土地+建物),僑中一街125巷6弄1~30號,32.55,都市：其他:住宅區(再),,,1100328,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,109.01,3,2,2,有,無,7800000,71553,,0.0,0,陽台外推；其他增建；,RPORMLPJNHGGFAF77DA,97.37,0.0,11.64,無,
土城區,房地(土地+建物),中正路1~30號,4.61,都市：其他:第二種住宅區,,,1100323,土地2建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840608,63.55,1,1,1,有,有,6000000,94414,,0.0,0,陽台外推；,RPSRMLPJNHGGFAF18DA,35.46,0.0,12.59,有,
板橋區,車位,光環路二段31~60號,0.05,都市：其他:住宅區,,,1100319,土地1建物1車位1,一層,二十層,其他,一般事務所,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,有,1900000,,坡道平面,27.27,1900000,僅車位交易；,RPQOMLQJNHGGFAF77DA,0.0,0.0,0.0,有,0009
板橋區,車位,光環路二段31~60號,0.05,都市：其他:住宅區,,,1100330,土地1建物1車位1,一層,二十層,其他,一般事務所,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,有,1800000,,坡道平面,27.27,1800000,僅車位交易；,RPROMLQJNHGGFAF87DA,0.0,0.0,0.0,有,0009
