鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
霧峰區,房地(土地+建物),新埔路91~120號,77.16,,特定農業區,甲種建築用地,1081103,土地4建物1車位0,全,四層,透天厝,住宅,鋼筋混凝土造,1091216,167.98,5,2,5,有,無,12700000,75604,,0.0,0,預售屋、或土地及建物分次登記案件；,RPPOMLQLMHGGFIB18DA,162.41,5.57,0.0,無,
霧峰區,房地(土地+建物),新埔路91~120號,74.53,,特定農業區,甲種建築用地,1081108,土地4建物1車位0,全,四層,透天厝,停車空間．住宅,鋼筋混凝土造,1091216,164.32,5,2,5,有,有,12100000,73637,,0.0,0,預售屋、或土地及建物分次登記案件；,RPSOMLQLMHGGFIB48DA,158.75,5.57,0.0,無,
霧峰區,房地(土地+建物),新埔路91~120號,69.7,,特定農業區,甲種建築用地,1080416,土地4建物1車位0,全,四層,透天厝,住宅,鋼筋混凝土造,1091216,157.45,5,2,5,有,有,12080000,76723,,0.0,0,預售屋、或土地及建物分次登記案件；,RPTOMLQLMHGGFIB58DA,153.89,3.56,0.0,無,
大里區,房地(土地+建物)+車位,祥興路541~570號,17.63,都市：其他:住宅區,,,1071211,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,115.37,2,2,1,有,有,6800000,65985,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPVRMLRLMHGGFIB56DA,51.88,5.09,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,17.63,都市：其他:住宅區,,,1071219,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,115.96000000000001,2,2,1,有,有,6580000,62928,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPPSMLRLMHGGFIB68DA,52.01,5.21,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.69,都市：其他:住宅區,,,1080329,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,144.22,3,2,2,有,有,9120000,69248,坡道平面,30.57,1250000,預售屋、或土地及建物分次登記案件；,RPRTMLRLMHGGFIB98DA,66.86,9.86,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.69,都市：其他:住宅區,,,1080430,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,144.91,3,2,2,有,有,9190000,68984,坡道平面,31.26,1350000,預售屋、或土地及建物分次登記案件；,RPUTMLRLMHGGFIB66DA,66.86,9.86,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,18.18,都市：其他:住宅區,,,1070928,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,116.53,2,2,1,有,有,7390000,70834,坡道平面,31.26,1350000,預售屋、或土地及建物分次登記案件；,RPTUMLRLMHGGFIB66DA,51.3,6.32,0.0,有,0294
大里區,房地(土地+建物)+車位,祥興路541~570號,18.73,都市：其他:住宅區,,,1080827,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,120.72,2,2,1,有,有,7800000,70981,坡道平面,31.26,1450000,預售屋、或土地及建物分次登記案件；,RPRNMLSLMHGGFIB48DA,54.11,6.32,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,18.73,都市：其他:住宅區,,,1080716,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,120.72,2,2,1,有,有,7700000,72099,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPSNMLSLMHGGFIB58DA,54.11,6.32,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,18.18,都市：其他:住宅區,,,1071030,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,116.53999999999999,2,2,1,有,有,6830000,65432,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPVNMLSLMHGGFIB88DA,51.31,6.32,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,18.18,都市：其他:住宅區,,,1080319,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,116.53999999999999,2,2,1,有,有,6950000,66839,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPWNMLSLMHGGFIB98DA,51.31,6.32,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,17.63,都市：其他:住宅區,,,1080131,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,114.61,2,2,1,有,有,7220000,71038,坡道平面,30.57,1250000,預售屋、或土地及建物分次登記案件；,RPUOMLSLMHGGFIB88DA,51.81,5.09,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.69,都市：其他:住宅區,,,1080219,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,144.91,3,2,2,有,有,8550000,63352,坡道平面,31.26,1350000,預售屋、或土地及建物分次登記案件；,RPVOMLSLMHGGFIB98DA,66.86,9.86,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.69,都市：其他:住宅區,,,1080305,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,144.91,3,2,2,有,有,9300000,69952,坡道平面,31.26,1350000,預售屋、或土地及建物分次登記案件；,RPRPMLSLMHGGFIB68DA,66.86,9.86,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,18.18,都市：其他:住宅區,,,1080924,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,116.53999999999999,2,2,1,有,有,7080000,68363,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPXPMLSLMHGGFIB66DA,51.31,6.32,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.69,都市：其他:住宅區,,,1071030,土地1建物1車位2,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,173.66,3,2,2,有,有,9660000,64423,坡道平面,62.52,2500000,預售屋、或土地及建物分次登記案件；,RPPQMLSLMHGGFIB58DA,65.93,9.14,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,25.9,都市：其他:住宅區,,,1070710,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,184.76,3,2,2,有,有,11550000,70762,坡道平面,62.52,2900000,預售屋、或土地及建物分次登記案件；,RPWQMLSLMHGGFIB66DA,73.1,9.47,0.0,有,
烏日區,房地(土地+建物)+車位,環河路四段271~300號,25.72,都市：其他:商業區,,,1100405,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090713,213.53,4,2,2,有,有,13280000,62193,坡道平面,60.96,0,,RPSRMLSLMHGGFIB98DA,92.34,12.03,0.0,有,0295
大里區,房地(土地+建物)+車位,祥興路541~570號,25.35,都市：其他:住宅區,,,1070814,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,153.51,3,2,2,有,有,9980000,70593,坡道平面,31.26,1350000,預售屋、或土地及建物分次登記案件；,RPUQMLRLMHGGFIB98DA,73.1,9.48,0.0,有,
烏日區,房地(土地+建物)+車位,環河北路241~270號,35.21,都市：其他:第四種住宅區,,,1100412,土地2建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0920313,173.34,3,2,2,有,有,8900000,51344,坡道平面,25.13,0,,RPWNMLLLMHGGFIB28DA,98.72,10.92,0.0,有,
大里區,房地(土地+建物),上興街二段61~90號,107.58,都市：其他:住宅區,,,1100418,土地3建物1車位0,全,四層,透天厝,住宅、停車空間,鋼筋混凝土造,1090611,232.73,4,3,5,有,無,24000000,103124,,0.0,0,其他增建；,RPVOMLRLMHGGFIB88DA,217.33,15.4,0.0,無,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.14,都市：其他:住宅區,,,1071030,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,142.39999999999998,3,2,2,有,有,8680000,65953,坡道平面,31.26,1350000,預售屋、或土地及建物分次登記案件；,RPOPMLOJNHGGFIB87DA,65.93,9.14,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.14,都市：其他:住宅區,,,1070928,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,142.39999999999998,3,2,2,有,有,9080000,70452,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPPPMLOJNHGGFIB97DA,65.93,9.14,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.14,都市：其他:住宅區,,,1080416,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,142.39999999999998,3,2,2,有,有,9000000,69732,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPQPMLOJNHGGFIB08DA,65.93,9.14,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.14,都市：其他:住宅區,,,1071030,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,142.34,3,2,2,有,有,8480000,65088,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPSPMLOJNHGGFIB28DA,65.93,9.08,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,25.9,都市：其他:住宅區,,,1070731,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,184.76999999999998,3,2,2,有,有,11080000,68548,坡道平面,62.52,2700000,預售屋、或土地及建物分次登記案件；,RPTPMLOJNHGGFIB38DA,73.1,9.48,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,25.35,都市：其他:住宅區,,,1070704,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,153.5,3,2,2,有,有,9900000,69944,坡道平面,31.26,1350000,預售屋、或土地及建物分次登記案件；,RPSQMLOJNHGGFIB38DA,73.1,9.47,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,25.9,都市：其他:住宅區,,,1070710,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,184.76,3,2,2,有,有,11650000,71580,坡道平面,62.52,2900000,預售屋、或土地及建物分次登記案件；,RPUQMLOJNHGGFIB58DA,73.1,9.47,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,17.63,都市：其他:住宅區,,,1080723,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,115.37,2,2,1,有,有,7200000,70741,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPWQMLOJNHGGFIB78DA,51.88,5.09,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,17.63,都市：其他:住宅區,,,1080806,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,115.3,2,2,1,有,有,7300000,71990,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPRRMLOJNHGGFIB38DA,51.81,5.09,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,18.18,都市：其他:住宅區,,,1071127,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,116.53,2,2,1,有,有,7280000,69544,坡道平面,31.26,1350000,預售屋、或土地及建物分次登記案件；,RPXRMLOJNHGGFIB98DA,51.3,6.32,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,19.29,都市：其他:住宅區,,,1080827,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,121.08,2,2,1,有,有,8030000,73258,坡道平面,31.26,1450000,預售屋、或土地及建物分次登記案件；,RPOSMLOJNHGGFIB18DA,54.3,6.32,0.0,有,
大里區,房地(土地+建物)+車位,祥興路541~570號,23.69,都市：其他:住宅區,,,1080611,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091201,144.91,3,2,2,有,有,9280000,70656,坡道平面,31.26,1250000,預售屋、或土地及建物分次登記案件；,RPVNMLQJNHGGFIB58DA,66.86,9.86,0.0,有,
大里區,房地(土地+建物),健康二街31~60號,143.93,,一般農業區,特定目的事業用地,1100412,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0831125,159.74,3,2,2,有,有,4700000,29423,,0.0,0,,RPVPMLQJNHGGFIB78DA,99.98,10.4,0.0,有,
大里區,房地(土地+建物)+車位,環中東路六段271~300號,23.8,都市：其他:住宅區,,,1100418,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090713,153.76,3,2,2,有,有,9700000,63085,坡道平面,28.39,0,,RPWPMLLKNHGGFIB48DA,72.61,9.98,0.0,有,0296
霧峰區,房地(土地+建物),民生路211~240號,102.15,,特定農業區,甲種建築用地,1100327,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0910523,226.76,14,0,14,有,無,14300000,63062,,0.0,0,其他增建；,RPVQMLLKNHGGFIB48DA,214.56,12.2,0.0,無,
大里區,房地(土地+建物)+車位,公園街421巷31~60號,16.25,都市：其他:商業區,,,1100411,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060307,131.05,3,2,2,有,有,9000000,68676,坡道機械,18.55,0,,RPRRMLLKNHGGFIB18DA,65.51,9.78,0.0,有,0297
