鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,total_floor
文山區,房地(土地+建物),興隆路二段217巷1~30號,8.65,都市：其他:第三種住宅區。,,,1091029,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,40.989999999999995,1,1,1,有,有,7300000,178092,,0.0,0,陽台外推；其他增建；,RPWOMLKKJIPFFAA87DA,25.66,0.7,5.79,有,,13
萬華區,房地(土地+建物),開封街二段61~90號,4.21,都市：其他:第四種商業區。,,,1091107,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841201,36.01,0,1,1,有,有,5780000,160511,,0.0,0,陽台外推；其他增建；,RPWRMLRJKIPFFBA98DA,19.99,0.0,5.33,有,,16
松山區,房地(土地+建物)+車位,八德路四段511~540號,21.49,都市：其他:第三種商業區。,,,1091021,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910612,207.67000000000002,4,2,2,有,有,41580000,200222,升降平面,39.45,0,其他增建；,RPVNMLOLJIPFFDA48DA,107.34,0.0,11.18,有,,13
北投區,房地(土地+建物)+車位,磺港路121~150號,31.9,都市：其他:第三種住宅區。,,,1091114,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,256.94,4,2,3,有,有,40680000,174064,坡道平面,38.17,2600000,,RPVNMLRKJIPFFEA78DA,127.98,4.03,10.55,有,,18
北投區,房地(土地+建物)+車位,磺港路121~150號,31.93,都市：其他:第三種住宅區。,,,1091114,土地1建物1車位2,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,295.11,4,2,3,有,有,44580000,180921,坡道平面,76.34,5000000,,RPXNMLRKJIPFFEA98DA,127.98,4.03,10.55,有,,18
北投區,房地(土地+建物)+車位,泉源路31~60號,48.35,都市：其他:第三種住宅區。,,,1090615,土地1建物1車位2,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050315,332.08000000000004,0,0,0,無,有,48000000,144543,坡道平面,61.68,0,陽台外推；,RPTNMLRLJIPFFEA68DA,155.32,7.51,14.47,有,14.0,19
大安區,房地(土地+建物)+車位,瑞安街81巷1~30號,55.68,都市：其他:第三種住宅區。,,,1091003,土地1建物2車位3,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980213,417.67,4,2,4,有,有,118880000,284627,坡道平面,0.0,0,陽台外推；其他增建；,RPQPMLNJKIPFFFA18DA,205.24,32.69,15.25,有,,13
松山區,房地(土地+建物),南京東路五段151~180號,10.99,都市：其他:第二種商業區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1091111,土地2建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731106,140.61,4,2,2,有,有,30500000,216912,,0.0,0,,RPXOMLKMJIPFFDA58EA,103.71,0.0,13.12,有,,16
大安區,房地(土地+建物)+車位,復興南路二段151巷31~60號,4.99,都市：其他:第三種住宅區。,,,1091115,土地1建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,25.72,2,2,1,有,有,5650000,219588,坡道平面,0.0,0,車位抽籤親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKKIPFFFA77EA,18.78,0.32,1.77,有,31.0,17
大安區,房地(土地+建物),建國南路一段307巷1~30號,16.02,都市：其他:道路用地(公共設施用地)。62/3/7,,,1091114,土地2建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760226,105.97,3,2,2,有,有,27550000,259979,,0.0,0,,RPVNMLLKKIPFFFA48EA,93.41,1.23,11.33,有,32.0,14
大安區,房地(土地+建物)+車位,敦南街61~90號,61.4,都市：其他:第三種住宅區。,,,1090122,土地1建物1車位3,九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051005,529.31,4,2,4,有,有,190000000,358958,坡道平面,88.8,0,,RPXNMLLKKIPFFFA68EA,244.0,23.55,26.85,有,,27
士林區,房地(土地+建物)+車位,中山北路七段61~90號,114.76,都市：其他:第三種住宅區。,,,1091124,土地1建物1車位6,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1030811,729.9200000000001,4,2,5,有,有,215880000,379415,坡道平面,208.38,18000000,,RPTNMLKKKIPFFEA08EA,301.28,6.29,26.19,有,34.0,19
士林區,房地(土地+建物)+車位,劍潭路61~90號,31.85,都市：其他:第三種住宅區。,,,1091119,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960122,162.14,2,2,2,有,有,29100000,200407,坡道平面,29.4,2500000,陽台外推；其他增建；,RPSPMLKKKIPFFEA18EA,85.47,4.55,8.33,有,36.0,14
南港區,房地(土地+建物),東新街91~120號,14.38,都市：其他:第一種商業區。,,,1091106,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000531,112.17000000000002,2,2,2,有,有,29500000,262994,,0.0,0,,RPQNMLKKKIPFFDA67EA,61.56,4.35,8.24,有,,15
文山區,房地(土地+建物),木柵路二段109巷100弄1~30號,13.37,都市：其他:第二種住宅區。,,,1091031,土地2建物1車位0,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,29.15,1,0,1,有,有,3600000,123499,,0.0,0,其他增建；,RPTOMLKKKIPFFAA77EA,17.62,0.89,4.08,有,,17
大安區,房地(土地+建物)+車位,安和路二段91~120號,23.4,都市：其他:第三之一種住宅區。,,,1090802,土地2建物1車位1,十六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780810,264.52,4,2,2,有,有,73080000,276274,坡道平面,0.0,0,陽台外推；,RPUOMLMKJIPFFFA38DA,194.12,0.0,38.42,有,,25
士林區,房地(土地+建物)+車位,中山北路七段82巷1~30號,65.32,都市：其他:第三種住宅區。,,,1090923,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0940812,309.05,3,2,2,有,有,69500000,224883,坡道平面,0.0,0,陽台外推；其他增建；,RPWQMLTJKIPFFEA76DA,148.29,0.0,17.83,有,,14
北投區,房地(土地+建物)+車位,裕民六路121~150號,18.87,都市：其他:第三種商業區。,,,1091028,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040305,246.22,4,2,2,有,有,56800000,230688,坡道機械,56.14,0,,RPUOMLKKKIPFFEA18DA,109.4,8.28,9.96,有,56.0,14
中山區,房地(土地+建物),天祥路61~90號,3.91,都市：其他:第三種商業區。,,,1091117,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931203,42.57,1,1,1,有,有,11330000,266150,,0.0,0,陽台外推；夾層；其他增建；,RPXQMLSJKIPFFCA56DA,24.14,0.92,4.14,有,64.0,14
內湖區,房地(土地+建物),內湖路二段103巷119弄1~30號,15.09,都市：其他:道路護坡用地(公共設施用地)。78/7/27,,,1091018,土地2建物1車位0,七層，八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720331,120.22,3,2,3,有,有,18380000,152886,,0.0,0,陽台外推；其他增建；,RPWOMLSJKIPFFCA88DA,103.76,0.0,2.39,有,,14
中山區,房地(土地+建物)+車位,五常街11巷1~30號,10.49,都市：其他:第三之一種住宅區。,,,1091130,土地2建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,102.84,1,2,1,有,有,19300000,262346,坡道平面,38.04,2300000,,RPRNMLKMJIPFFCA67DA,38.4,1.67,3.17,有,,17
內湖區,房地(土地+建物)+車位,金湖路31~60號,29.81,都市：其他:第三種住宅區。,,,1091109,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920930,170.84,3,2,2,有,有,37200000,217748,坡道平面,35.91,0,陽台外推；其他增建；,RPSNMLRLJIPFFCA38DA,86.15,0.0,8.83,有,69.0,14
大同區,房地(土地+建物)+車位,寧夏路1~30號,4.18,都市：其他:第三種商業區。,,,1091114,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851028,90.1,1,1,1,有,有,8970000,128346,坡道平面,48.26,3600000,陽台外推；其他增建；,RPWPMLSJKIPFFBA88DA,21.6,0.0,3.12,有,,14
大同區,房地(土地+建物)+車位,涼州街1~30號,25.54,都市：其他:第四種住宅區。,,,1091102,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000318,232.37,3,2,2,有,有,45880000,197444,坡道平面,0.0,0,其他增建；,RPPNMLTJKIPFFBA08DA,139.23,7.88,9.59,有,,15
萬華區,房地(土地+建物),和平西路三段61~90號,6.36,都市：其他:交通用地(公共設施用地)(依都市計畫說明書圖規定辦理)。79/5/22,,,1091101,土地4建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000315,60.510000000000005,1,2,1,有,有,12000000,198314,,0.0,0,,RPTNMLLJKIPFFBA67DA,34.68,0.0,3.91,有,,13
文山區,房地(土地+建物)+車位,羅斯福路六段421~450號,8.68,都市：其他:第三種商業區。,,,1091101,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000704,101.58000000000001,2,2,1,有,有,22860000,225044,塔式車位,9.44,0,,RPWPMLNLJIPFFAA38DA,50.17,2.38,5.26,有,71.0,13
文山區,房地(土地+建物)+車位,興隆路四段145巷83弄1~30號,62.14,都市：其他:第三種住宅區。,,,1090927,土地1建物1車位2,十層，十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961026,356.03999999999996,5,2,3,有,有,47660000,133861,坡道平面,0.0,0,陽台外推；其他增建；,RPVOMLMJJIPFFAA87DA,199.02,6.39,21.65,有,,14
中山區,房地(土地+建物)+車位,林森北路331~360號,26.71,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091029,土地1建物1車位2,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1021101,355.46000000000004,3,2,3,有,有,69500000,210167,坡道平面,53.32,6000000,,RPROMLRLJIPFFCA38DA,175.49,14.15,16.99,有,76.0,24
內湖區,房地(土地+建物)+車位,金湖路401巷1~30號,30.78,都市：其他:第三種住宅區。,,,1091031,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880812,160.36,3,2,2,有,有,30580000,190696,坡道平面,44.38,0,,RPWPMLLJKIPFFCA28DA,82.29,0.0,12.62,有,,14
中山區,房地(土地+建物)+車位,建國北路二段211~240號,24.28,都市：其他:第三之二種住宅區。,,,1091024,土地2建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990924,302.0,4,2,2,有,有,57400000,190073,坡道平面,0.0,0,,RPXQMLMJKIPFFCA58DA,116.89,10.81,16.48,有,,15
中山區,房地(土地+建物),中山北路一段121巷31~60號,9.75,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091106,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,92.33,2,2,1,有,有,23050000,249648,,0.0,0,其他增建；,RPVQMLTJKIPFFCA09DA,52.32,3.9,6.45,有,80.0,14
內湖區,房地(土地+建物),星雲街168巷31~60號,8.58,都市：其他:第三種住宅區。,,,1090925,土地1建物1車位0,十三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,45.42,0,1,1,有,有,8900000,195949,,0.0,0,陽台外推；夾層；其他增建；,RPSNMLLKKIPFFCA77DA,27.56,1.0,2.82,有,84.0,21
北投區,房地(土地+建物)+車位,文林北路121~150號,13.45,都市：其他:第三之二種住宅區。,,,1091027,土地1建物1車位1,四層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,193.23000000000002,2,2,2,有,有,42570000,220307,坡道平面,0.0,0,,RPSPMLLKKIPFFEA18DA,92.45,10.45,7.85,有,90.0,25
大安區,房地(土地+建物)+車位,仁愛路三段5巷1~30號,35.08,都市：其他:第三種住宅區。,,,1090819,土地1建物3車位2,二層,十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050929,370.40999999999997,0,0,0,無,有,130000000,410399,坡道平面,69.24,6400000,,RPSOMLLKKIPFFFA18DA,169.13,18.36,4.32,有,,16
中山區,房地(土地+建物)+車位,中山北路二段181~210號,7.8,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090919,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080604,120.35,0,0,0,無,有,35800000,351071,坡道平面,29.77,4000000,,RPVSMLKMJIPFFCA68EA,52.58,3.84,4.62,有,,18
中山區,房地(土地+建物)+車位,中山北路二段181~210號,20.16,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090919,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080604,264.15,0,0,0,無,有,87780000,357454,坡道平面,29.77,4000000,,RPWSMLKMJIPFFCA78EA,134.72,7.74,14.72,有,,18
中山區,房地(土地+建物)+車位,林森北路571~600號,9.29,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091127,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,129.55,2,1,1,有,有,22010000,215890,坡道平面,39.18,2500000,,RPWTMLKMJIPFFCA88EA,49.48,1.73,4.57,有,,13
松山區,房地(土地+建物)+車位,八德路四段421~450號,4.74,都市：其他:第三種商業區。,,,1091126,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,57.79,1,1,1,有,有,10500000,181692,升降機械,0.0,0,夾層；,RPVNMLLKKIPFFDA28EA,21.97,1.09,2.55,有,109.0,14
信義區,房地(土地+建物)+車位,基隆路二段121~150號,6.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1090712,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031029,97.32,1,1,1,有,有,26000000,267160,塔式車位,0.0,0,,RPOOMLLKKIPFFDA67EA,49.53,1.77,5.15,有,111.0,15
大安區,房地(土地+建物)+車位,光復南路691~720號,7.34,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1091125,土地2建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011120,78.65,2,2,1,有,有,21580000,274380,其他,4.05,0,,RPVNMLOKKIPFFFA78EA,45.4,3.33,2.67,有,117.0,14
大安區,房地(土地+建物),仁愛路四段391~420號,17.5,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區及第肆之壹種住宅區)。,,,1091120,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.54,4,2,2,有,有,45300000,287546,,0.0,0,,RPWOMLOLJIPFFFA98EA,119.07,0.0,21.06,有,,14
士林區,房地(土地+建物)+車位,中山北路七段81巷1~30號,54.51,都市：其他:第三種住宅區。,,,1091019,土地1建物1車位4,十四層，十五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811124,474.14,5,3,3,有,有,90000000,253839,坡道平面,158.98,10000000,陽台外推；其他增建；,RPQPMLKKKIPFFEA97EA,223.71,5.66,19.99,有,,19
松山區,房地(土地+建物),南京東路五段211~240號,3.74,都市：其他:聯合開發區(捷)。,,,1091203,土地1建物1車位0,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980331,46.44,1,1,1,有,有,11800000,254091,,0.0,0,,RPQOMLRJKIPFFDA38EA,27.09,0.0,3.51,有,,18
信義區,房地(土地+建物),信義路五段150巷301~330號,6.81,都市：其他:第三種住宅區。,,,1091129,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980408,49.08,0,0,0,無,有,12280000,250204,,0.0,0,陽台外推；,RPTOMLRJKIPFFDA68EA,22.17,4.26,3.75,有,,13
松山區,房地(土地+建物),南京東路五段31~60號,3.76,都市：其他:第二種商業區及第三種住宅區。,,,1091119,土地1建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790216,45.849999999999994,1,1,1,有,有,9800000,213740,,0.0,0,,RPWOMLOKKIPFFDA78EA,32.07,0.52,3.82,有,,19
中山區,房地(土地+建物),林森北路511~540號,4.14,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091106,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940826,45.010000000000005,2,1,1,有,有,11000000,244390,,0.0,0,陽台外推；,RPPPMLOKKIPFFCA08EA,24.65,0.31,3.13,有,,14
中山區,房地(土地+建物)+車位,吉林路1~30號,22.35,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1091027,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990906,202.74,4,2,2,有,有,46600000,263476,坡道平面,37.26,3000000,,RPQUMLKMJIPFFCA38EA,98.66,3.14,9.68,有,127.0,14
內湖區,房地(土地+建物)+車位,成功路五段450巷1~30號,27.33,都市：其他:第三之二種住宅區(依都市計畫說明書圖規定辦理)及第三種住宅區。,,,1091107,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881022,167.61,3,2,2,有,有,32300000,192709,坡道平面,0.0,2500000,,RPWPMLOKKIPFFCA78EA,88.66,0.0,9.17,有,,14
南港區,房地(土地+建物)+車位,經貿二路157巷36弄91~120號,48.24,都市：其他:住宅區(供商務住宅使用)。,,,1091112,土地1建物1車位2,十九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306,333.03,3,2,2,有,有,72460000,217578,坡道平面,0.0,0,其他增建；,RPPRMLLKKIPFFDA97DA,148.87,10.63,12.92,有,,21
士林區,房地(土地+建物)+車位,士商路151~180號,20.95,都市：其他:第三種住宅區。,,,1091026,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081114,147.07999999999998,0,0,0,無,有,30880000,263996,坡道平面,42.23,3200000,,RPQOMLMJJIPFFEA77DA,60.64,4.71,3.93,有,,19
士林區,房地(土地+建物)+車位,士商路151~180號,29.94,都市：其他:第三種住宅區。,,,1091105,土地1建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1081114,197.41,3,2,2,有,有,42200000,250677,坡道平面,42.23,3300000,,RPROMLPJJIPFFEA18DA,88.16,10.38,4.96,有,,19
內湖區,房地(土地+建物)+車位,內湖路二段103巷1~30號,76.23,都市：其他:第三種住宅區。,,,1090923,土地1建物1車位3,八層,二十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070619,557.3299999999999,0,0,0,無,有,184800000,402340,坡道平面,119.64,8700000,,RPRRMLLKKIPFFCA08DA,231.45,4.54,34.54,有,,26
內湖區,房地(土地+建物)+車位,文德路210巷30弄91~120號,25.43,都市：其他:第三種住宅區。,,,1091114,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0911031,161.02,3,2,2,有,有,31000000,192523,坡道平面,28.99,0,陽台外推；其他增建；,RPTNMLMKKIPFFCA97DA,74.31,0.0,8.95,有,,14
內湖區,房地(土地+建物)+車位,文德路61~90號,28.79,都市：其他:第三種住宅區。,,,1091010,土地2建物1車位4,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981224,312.31,3,2,2,有,有,65100000,208447,坡道平面,98.16,0,其他增建；,RPQNMLNKKIPFFCA77DA,115.55,15.77,10.17,有,,17
萬華區,房地(土地+建物)+車位,桂林路91~120號,6.66,都市：其他:第四種商業區。,,,1091121,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,105.78999999999999,2,2,1,有,有,18000000,181294,坡道機械,13.95,1350000,,RPRQMLLKKIPFFBA87DA,49.25,4.0,8.25,有,,24
萬華區,房地(土地+建物),成都路121~150號,7.9,都市：其他:第四種商業區。,,,1091105,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,113.92999999999999,2,2,2,有,有,20600000,180813,,0.0,0,,RPWNMLRJKIPFFBA58DA,68.26,0.0,6.95,有,159.0,15
中正區,房地(土地+建物)+車位,南昌路二段1~30號,18.07,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1091207,土地2建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020315,206.63,2,2,2,有,有,48800000,266344,坡道平面,33.17,2600000,,RPPNMLTJKIPFFAA97DA,108.02,0.99,8.8,有,162.0,13
文山區,房地(土地+建物)+車位,景後街91~120號,16.58,都市：其他:第三種商業區。,,,1091107,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040721,204.5,3,2,2,有,有,33680000,164694,塔式車位,35.09,0,陽台外推；其他增建；,RPTNMLOLJIPFFAA97DA,96.38,12.45,7.49,有,164.0,15
萬華區,房地(土地+建物)+車位,環河南路二段1~30號,9.85,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1061002,土地2建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,123.94,2,2,1,有,無,21090000,181635,坡道機械,19.94,2200000,預售屋、或土地及建物分次登記案件；,RPTOMLKLJIPFFBA77DA,57.26,7.65,5.1,有,,24
萬華區,房地(土地+建物),環河南路二段1~30號,8.03,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1071125,土地2建物1車位0,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,85.69,2,2,1,有,無,12450000,145274,,0.0,0,預售屋、或土地及建物分次登記案件；,RPURMLKLJIPFFBA18DA,53.78,0.01,3.89,有,,24
萬華區,房地(土地+建物)+車位,環河南路二段1~30號,8.66,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1060929,土地2建物1車位1,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,130.35999999999999,2,2,1,有,無,17700000,166888,坡道平面,39.88,2600000,預售屋、或土地及建物分次登記案件；,RPRPMLKLJIPFFBA67DA,53.82,3.16,3.89,有,,24
萬華區,房地(土地+建物)+車位,環河南路二段1~30號,8.57,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1080729,土地2建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,110.41999999999999,2,2,1,有,無,16700000,169098,坡道機械,19.94,1400000,預售屋、或土地及建物分次登記案件；,RPWOMLLKKIPFFBA18DA,53.82,3.16,3.89,有,,24
萬華區,房地(土地+建物),環河南路二段1~30號,8.47,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090925,土地2建物1車位0,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,90.47,2,2,1,有,無,15500000,171309,,0.0,0,預售屋、或土地及建物分次登記案件；,RPOPMLLKKIPFFBA47DA,53.82,3.16,3.89,有,,24
萬華區,房地(土地+建物)+車位,環河南路二段1~30號,8.66,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091030,土地2建物1車位1,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,130.35999999999999,2,2,1,有,無,18200000,175729,坡道平面,39.88,2300000,預售屋、或土地及建物分次登記案件；,RPPPMLLKKIPFFBA57DA,53.82,3.16,3.89,有,,24
萬華區,房地(土地+建物),環河南路二段1~30號,8.47,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090320,土地2建物1車位0,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,90.47,2,2,1,有,無,14100000,155836,,0.0,0,預售屋、或土地及建物分次登記案件；,RPQPMLLKKIPFFBA67DA,53.82,3.16,3.89,有,,24
萬華區,房地(土地+建物)+車位,環河南路二段1~30號,13.55,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1080919,土地2建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,183.15,2,2,1,有,無,29600000,190549,坡道平面,39.88,2300000,預售屋、或土地及建物分次登記案件；,RPRPMLLKKIPFFBA77DA,81.69,9.29,5.49,有,,24
萬華區,房地(土地+建物),環河南路二段1~30號,8.43,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090930,土地2建物1車位0,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,89.72,2,2,1,有,無,16380000,182568,,0.0,0,預售屋、或土地及建物分次登記案件；,RPSPMLLKKIPFFBA87DA,51.18,5.35,3.85,有,,24
萬華區,房地(土地+建物),環河南路二段31~60號,7.11,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091103,土地2建物1車位0,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,75.57000000000001,2,2,1,有,無,14260000,188699,,0.0,0,預售屋、或土地及建物分次登記案件；,RPUPMLLKKIPFFBA08DA,44.07,3.49,3.32,有,,24
萬華區,房地(土地+建物)+車位,環河南路二段1~30號,8.53,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1091010,土地2建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,109.66,2,2,1,有,無,18390000,189367,坡道機械,19.94,1400000,預售屋、或土地及建物分次登記案件；,RPVPMLLKKIPFFBA18DA,51.18,5.35,3.85,有,,24
