鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,total_floor
楠梓區,房地(土地+建物)+車位,高雄大學路181~210號,14.28,都市：其他:第四種住宅區,,,1091121,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010316,97.16999999999999,2,1,1,有,有,4900000,50427,坡道平面,21.41,0,買賣總價包含土地款245萬及建物含車位款245萬元,RPVNMLOJJHGGFEE87DA,45.71,5.73,0.0,有,,15
楠梓區,房地(土地+建物)+車位,秀群路499巷7弄1~30號,14.83,都市：其他:第四種商業區,,,1091114,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020531,189.14,4,2,2,有,有,9280000,49064,坡道平面,24.79,0,,RPURMLOJJHGGFEE18DA,99.57,8.99,0.0,有,1021.0,15
左營區,房地(土地+建物)+車位,文自路781~810號,15.87,都市：其他:第五種住宅區,,,1091207,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021014,158.5,3,2,2,有,有,8300000,52366,坡道平面,40.32,0,,RPUQMLSJKIPFFEE86DA,62.53,12.51,0.0,有,1033.0,15
楠梓區,房地(土地+建物),旗楠路126巷1~30號,7.07,都市：其他:第四種商業區,,,1091202,土地1建物1車位0,九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020529,87.44,2,2,1,有,有,4800000,54895,,0.0,0,,RPXPMLNJKIPFFEE56DA,54.91,4.07,0.0,有,1034.0,20
三民區,房地(土地+建物)+車位,延慶街121~150號,20.48,都市：其他:第四種住宅區,,,1091205,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910204,148.28,3,2,2,有,有,7600000,51254,坡道平面,24.42,0,,RPSQMLNLKIPFFDE88DA,78.48,8.67,0.0,有,,14
三民區,房地(土地+建物)+車位,慶雲街121~150號,9.8,都市：其他:第三種特定商業專用區,,,1091215,土地1建物1車位1,十層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,175.70999999999998,4,2,2,有,有,6900000,39269,坡道機械,0.0,0,陽台外推；,RPTPMLLLKIPFFDE68DA,108.61,17.41,0.0,有,,26
三民區,房地(土地+建物)+車位,民豐路31~60號,8.55,都市：其他:第四種商業區,,,1091205,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870626,119.78999999999999,3,2,2,有,有,6680000,55764,坡道機械,18.48,0,,RPUNMLPJJHGGFDE77DA,69.98,6.85,0.0,有,1037.0,14
苓雅區,房地(土地+建物)+車位,河北路211~240號,23.27,都市：其他:第五種住宅區,,,1090906,土地1建物1車位2,二十五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040901,267.71,3,2,2,有,有,21800000,79650,坡道平面,36.7,3400000,,RPTNMLQJJHGGFBE57DA,127.28,25.29,0.0,有,,27
苓雅區,房地(土地+建物)+車位,新光路62巷1~30號,5.5,都市：其他:第三種特定商業專用區,,,1091205,土地1建物1車位1,三十層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,160.48,3,2,2,有,有,6400000,39880,坡道平面,14.65,0,,RPVOMLQJJHGGFBE87DA,90.95,12.27,0.0,有,1042.0,35
前鎮區,房地(土地+建物)+車位,英明路5巷1~30號,19.65,都市：其他:第四種住宅區,,,1091112,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020918,158.76999999999998,3,2,2,有,有,10740000,67645,坡道平面,24.4,0,附家具家電,RPOOMLOJJHGGFCE07DA,74.28,11.86,0.0,有,,15
